Name of Position;Description;Label;Link to Job
AI/ML Software Engineering Intern;"2025 Working in Science Internship Program at AstraZeneca (July – September)

The Internship Program at AstraZeneca is aimed at graduates and students of the last years of universities who want to use the knowledge gained during their studies in practice. This is an opportunity to raise your professional qualifications in one of the most innovative global biotechnology companies.

The program is dedicated to people who didn’t participate in previous editions.

Join a vibrant and dynamic team with the passion and drive to push the boundaries of science!

We encourage you to read the job description and the requirements carefully. 

The Quality Investigation & Analytics team is part of the Process, Quality & Transformation within Biopharma Clinical Operations (BioPharma ClinOps). We provide data-driven insights to enhance inspection readiness and regulatory compliance, thereby empowering study teams to deliver clinical studies. The team is also responsible for delivering Quality Management reporting and solutions within R&D. Additionally, we manage project oversight of the Quality Management Systems analytics and Study Quality Oversight roadmap to ensure timely and efficient delivery of solutions to the business.

We are seeking a motivated and talented Data Science Intern to join our dynamic team. The internship will offer practical experience in data analysis, machine learning, and the visualization of complex datasets. This is an excellent opportunity for individuals looking to gain hands-on experience in the pharmaceutical industry while contributing to meaningful projects.

Key Responsibilities:


Collaborate with data scientists and other team members to develop and implement data-driven solutions.
Assist in the collection, cleaning, and preprocessing of data from various sources.
Perform exploratory data analysis to uncover insights and trends.
Support the development of predictive models and machine learning algorithms.
Visualize data and model outputs to effectively communicate findings.
Contribute to the preparation of technical reports and presentations


Requirements:


Currently pursuing a BSc, MSc, or PhD in Data Science, Computer Science, Statistics, Mathematics, Physics, or a related field.
Experience in machine learning, including the ability to develop and deploy predictive models.
Experience working with or building ETL (Extract, Transform, Load) pipelines in addition to standard data tools (e.g., SQL, AWS).
Experience working through data science use cases.
Proficiency in Python, in addition to other data science tools (e.g., Jupyter Notebooks, GitHub).
Ability to work autonomously with a capacity to drive projects forward.
Ability to present complex data & analytics topics to stakeholders with various levels of literacy


Nice to have:


Natural Language Processing (NLP) experience.
Strong exploratory analysis skills.
Experience working in a clinical organization is an asset.


Posting is closing 31st of March 2025. All submitted applications will be verified by us and assessed based on the objective criteria. Selected candidates will receive an invitation to introduce and present themselves using HireVue - a tool that allows to send answers to recruitment questions in the form of video recordings. On the final stage of the process, you will remotely meet the recruiting team consisting of representatives of a given department. At the end of April, we will announce a list of people for whom this year's internship program recruitment process was successful.

The internships will start in July and lasts 3 months.

We work in a hybrid scheme, be prepared to work partially office based.

Don’t miss your opportunity! We are waiting for you!

Participation in the program does not guarantee employment after the internship.

Willing to know more? Any questions? Feel free to ask:

https://qr.short.az/Join_our_LinkedInGroup";AI, Intern;google.com
GenAI/LLM Internship Program (She/He/They);"Accenture is a leading global professional services company that helps the world’s leading businesses, governments, and other organizations build their digital core, optimize their operations, accelerate revenue growth, and enhance citizen services. We offer solutions and assets across Strategy & Consulting, Technology, Operations, Industry X, and Accenture Song.

Internship at Accenture is a unique opportunity to work with qualified IT specialists who will willingly share their knowledge and possibilities that will be useful in the implementation of projects for the client. Taking internship at Accenture is a chance to be part of the projects we carry out for clients from Poland and international clients. We implement projects for many areas of the economy, such as: banking and finance, transport and infrastructure, energy, industry and many more.

For more information about Accenture Technology Poland please visit our website: Poland | Let There Be Change | Accenture

THE WORK:


 Research to advance large language models and artificial intelligence

 Experimenting with AI/LLM/GenAI models

 Improve the performance of LLM systems

 Collaborate with experienced team members to gain knowledge and continuously improve your skills.


Flexible: The work location for this role may include a mix of working remotely, onsite at a client or in an Accenture office - depending on specific project circumstances.

WHAT’S IN IT FOR YOU?


 Paid, several-month internship program - min. 3 months, 4-5 days a week, with flexible working hours and possibility to work remotely.

 A chance for long-term cooperation - there is a high probability that at the end of the internship, we will offer you a full-time job.

 Ambitious projects for the most prestigious clients in the world.

 The opportunity to gain skills, knowledge and experience while working in international teams and with experts from the dynamically developing digital sector.

 Career development - based on a culture of feedback and constant support from a mentor, a clear path of development from the first day of work and Buddy's help in a new workplace.


HERE’S WHAT YOU’LL NEED:


 Active student status and availability min. 30h per week.

 Excellent communication skills in English and Polish (written and oral) and good interpersonal skills.

 Understanding AI/LLM/GenAI models and their differences, advantages\disadvantage

 Practical experience in using AI\LLM\GenAI models via API

 Practical understanding of prompt construction

 Understand the concepts and capabilities of agent queuing tools


BONUS POINTS IF YOU HAVE:


 Programming experience/ability to verify code quality

 Understanding of agile/scrum issues/processes";AI, Intern;google.com
" IT Business Analyst Intern, 2025 Working in Science Internship Program 
";"??? ?? ????????
IT Business Analyst Intern, 2025 Working in Science Internship Program

2025 Working in Science Internship Program at AstraZeneca (July – September)

The Internship Program at AstraZeneca is aimed at graduates and students of the last years of universities who want to use the knowledge gained during their studies in practice. This is an opportunity to raise your professional qualifications in one of the most innovative global biotechnology companies.

The program is dedicated to people who didn’t participate in previous editions.

Join a vibrant and dynamic team with the passion and drive to push the boundaries of science!

We encourage you to read the job description and the requirements carefully.

We are looking for a person who can support IT business analysts team. Ideally student or graduate from some Computer Science related faculty, or other scientific / technology related willing to develop in IT.

Responsibilities:

Research and development IT Operational Clinical Development Platform provides support for clinical trials operations. RD IT BA team collects requirements about changes related to Veeva Clinical suite: electronic Trial Master File, Clinical Trial Management System, Study Start Up, Externally Sponsored Research, Safety Letter Distribution, and related integrations.:

Requirements:


Student of last years or graduate.
Basic IT knowledge in area of computerized systems.
Advanced ( B2 / C1 )English skills.
Willingness to learn and improve.
Nice to have would be some programming skills (python / R / json / REST API), but not essential.


Required skills:


Flexibility and adaptability.
Ability to work well within a team.
Ability to learn new information effectively and quickly.
Proven analytical thinking.


Posting is closing 31st of March 2025. All submitted applications will be verified by us and assessed based on the objective criteria. Selected candidates will receive an invitation to introduce and present themselves using HireVue - a tool that allows to send answers to recruitment questions in the form of video recordings. On the final stage of the process, you will remotely meet the recruiting team consisting of representatives of a given department. At the end of

April, we will announce a list of people for whom this year's internship program recruitment process was successful.

The internships will start in July and last from 3 months.

We work in a hybrid scheme, be prepared to work partially office based.

Don’t miss your opportunity! We are waiting for you!

Participation in the program does not guarantee employment after the internship.

Willing to know more? Any questions? Feel free to ask:";AI, Intern;google.com
"Image and Data Processing Libraries Intern 
";"Around the world, leading commercial and academic organizations are using GPU to redefine AI, scientific and engineering simulations, and data analytics. Did you know that the GPU accelerated libraries developed by NVIDIA are used in such industries such as healthcare, VR, autonomous vehicles, social media, and e-commerce? If the idea of contributing to these excite you, come join our team and help us build accelerated software libraries which are used by the entire world.

In this role you will be part of our team responsible for the development of libraries that provide groundbreaking functionality and performance. The internship may include extending the capabilities of existing as well as building new libraries that will be used in various AI and HPC applications. It will involve working with senior software engineers who will provide mentorship and guidance.

The project will include implementing new image and data processing algorithms, defining APIs, analyzing performance, finding appropriate solutions for difficult numerical corner cases, and other general software engineering work.

What You’ll Be Doing

 Collaborating with team members and other partners to understand software use cases and requirements. 
 Research, analyze, and document state-of-the art algorithms 
 Develop algorithms for image and data compression and processing 
 Analyze and improve performance of existing implementations 

What We Need To See

 Pursuing a degree in Computer Science, Artificial Intelligence, Applied Math, or related field 
 Programming skills (C/C++, Python) 
 Parallel or GPU programming experience (AVX, NEON, OpenMP, MPI, CUDA or OpenCL) 
 Experience with image coding (jpg, tiff, etc) or data compression algorithms (LZW, DEFLATE, etc) 

Ways To Stand Out From The Crowd

 Knowledge of image processing algorithms 
 Performance analysis and test design skills 
 Familiarity with floating-point arithmetic internals and numerical error analysis. 

NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most forward-thinking and hardworking people in the world working for us. If you're creative and autonomous, we want to hear from you!

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.";AI, Intern;google.com
Document AI Software Engineer Intern;"Build the future of the AI Data Cloud. Join the Snowflake team.

There is only one Data Cloud. Snowflake’s founders started from scratch and designed a data platform built for the cloud that is effective, affordable, and accessible to all data users. But it didn’t stop there. They engineered Snowflake to power the Data Cloud, where thousands of organizations unlock the value of their data with near-unlimited scale, concurrency, and performance. This is our vision: a world with endless insights to tackle the challenges and opportunities of today and reveal the possibilities of tomorrow.

We’re looking for dedicated students who share our passion for ground-breaking technology and want to create a lasting future for you and Snowflake. We're looking for a talented and motivated Java Developer to join our team specializing in the field of LLMs, NLP, and AI. In this role, you will have the opportunity to leverage your expertise to contribute to the development of platforms for cutting-edge AI projects (e.g. multi-modal LLMs) that are or will be integrated into the Snowflake platform making a significant impact on the company’s portfolio.

WHAT WE OFFER :

Paid, full-time internships in the heart of the software industry
Post-internship career opportunities (full-time and/or additional internships)
Exposure to a fast-paced, fun and inclusive culture
A chance to work with world-class experts on challenging projects
Opportunity to provide meaningful contributions to a real system used by customers
High level of access to supervisors (manager and mentor), detailed direction without micromanagement, feedback throughout your internship, and a final evaluation


WHAT WE EXPECT :

Must be actively enrolled in an accredited college/university program during the time of the internship
Desired Class Level: Bachelors (final year), Masters, PhD 
Desired majors: Math, Information Technology, Computer Science
Required coursework: SDKs / web service APIs (REST/ gRPC) 
Recommended coursework: engineering stack (programming, testing, version control, CI/CD, docker/Kubernetes, Jenkins, agile development, etc)
Bonus Experience:Proficiency in Go or Java
Knowing Python will be a strong assets 


WHAT YOU WILL LEARN / GAIN :

Help to find solutions to our complex, often ambiguous problems
Participate in all stages of developing and serving new platforms for various AI solutions and improving existing Snowflake’s functionalities in the AI domain
Work with research, engineering, and business teams to understand and shape the short and long-term product development strategy


Snowflake is growing fast, and we’re scaling our team to help enable and accelerate our growth. We are looking for people who share our values, challenge ordinary thinking, and push the pace of innovation while building a future for themselves and Snowflake.

How do you want to make your impact?

For jobs located in the United States, please visit the job posting on the Snowflake Careers Site for salary and benefits information: careers.snowflake.com";AI, Intern;google.com
AI Engineer Internship;"We are one of the fastest-growing AWS Partners in Europe, and our strength lies in the experience gained from delivering innovative IT projects for companies across various industries – from telecommunications and finance to startups.

Here, you’ll have the opportunity to dive deep into AWS, working on migration projects, ensuring security, and exploring the latest technologies in the Data & AI area.

Together, we drive innovation and help businesses unlock limitless possibilities.

?? AI Engineer Internship – A Paid Internship for True AI Enthusiasts!

We’re looking for AI Engineer Interns, but instead of reviewing CVs and conducting standard interviews, we have a different approach...

??Want to work with us? Show us your working project! ??

How does it work?

?? Present your project related to AI / Gen AI / Data Engineering – any topic, any technology. It can be something you did at university (even as a group), a personal side project, or an experiment that turned out so well you want to share it.

?? Walk us through how you built it, how it works, and what could be improved.

?? We’ll discuss it, look at the code together, and explore further development possibilities.

What happens next?

?? If you join us, you’ll work on real projects – PoCs, AI/GenAI implementations, and exploring AWS (though AWS is not required at the start).

?? We’ll define a personal development plan together and help you gain commercial experience.

?? If everything goes well, you’ll have a real opportunity for a full-time junior position.

Who are we looking for?

?? Creative and proactive individuals eager to grow in AI/GenAI.

?? Independent problem solvers who can deliver a working project.

?? Fast learners ready to gain hands-on commercial experience.

No AWS experience required – your project and passion for AI are what matter!

What do we offer?

? Paid internship

? Flexible working hours (minimum part-time)

? Hands-on experience with real AI/GenAI projects for AWS clients

? Opportunity for full-time employment after the internship!

? Personalized development plan tailored to your skills and ambitions

Sounds like you?

Apply now and show us what you’ve built! ??";AI, Intern;google.com
Internship - x86/ARM AI Engineer (Italy based);"Axelera AI is not your regular deep-tech startup. We are creating the next-generation AI platform to support anyone who wants to help advancing humanity and improve the world around us.

In just three years, we have raised a total of $120 million and have built a world-class team of 180+ employees (including 55+ PhDs with more than 40,000 citations), both remotely from 11 different countries and with offices in Belgium, Switzerland, Italy, the UK, headquartered at the High Tech Campus in Eindhoven, Netherlands.

We have also launched our Metis™ AI Platform, which achieves a 3-5x increase in efficiency and performance, and have visibility into a strong business pipeline exceeding $100 million.

Our unwavering commitment to innovation has firmly established us as a global industry pioneer.

Are you up for the challenge?

Position Overview

We are seeking a highly motivated x86/ARM AI Engineer to join our team for 6+ months' paid internship . In this role, you will collaborate with experienced engineers to test and verify the next generation of our computer vision hardware accelerator, tailored for simplifying AI at the edge. This is a unique opportunity to contribute to developing cutting-edge technology while gaining hands-on experience in a dynamic, innovative, and fast-moving environment.

Key responsibilities:

Work on new Linux host machines for application development porting Linux stacks and drivers
Collaborate with the development team to integrate new features and optimize existing system configurations. 
Work on ensuring efficient execution with low overheads for AI accelerator models. 
Conduct extensive testing to ensure stability and efficiency across various hardware platforms. 
Assist in the documentation process to ensure that system builds and modifications are clearly and accurately recorded. 
Provide support in debugging and troubleshooting system issues, offering solutions in a timely manner. 
Work in C, C++, Python and scripting languages for automation. 

Qualifications:

Currently pursuing a degree in Computer Science, Electrical Engineering, or a related field, with an expected graduation date within the next year. 
Exposure to Linux operating systems and experience working with various development boards, systems or microcontrollers. 
Good knowledge of C/C++ and Python programming languages. 
Familiarity with different processors and embedded systems architecture. 
Knowledge of communication protocols. 
Excellent problem-solving skills and a keen attention to detail. 
Ability to work independently as well as collaboratively in a team environment. 
Effective English communication skills, both written and verbal. Italian language fluency is not required for this position. 

Location

This position is based in Italy, in our Florence or Milan office. We offer a flexible work arrangement, allowing you to choose between working in the office daily or a hybrid model with two in-office days per week.

We also welcome applications from individuals based abroad who are interested in relocating to Italy for this experience.

Please note that we are unable to offer visa sponsorship or tangible relocation support for this position.

What We?offer 

This is your opportunity to be part of a dynamic, fast-growing international organization where innovation and creativity thrive and we offer a competitive compensation.

You'll gain hands-on experience with cutting-edge embedded systems technology, working on meaningful projects that have real-world impact. Our open and collaborative culture encourages mentorship from industry experts, fostering both professional growth and personal development.

With the possibility of partial remote work, and the freedom to take ownership with responsibility, you'll be part of a team that values both innovation and collaboration.

At Axelera AI, we wholeheartedly embrace equal opportunity and hold diversity in the highest regard. Our steadfast commitment is to cultivate a warm and inclusive environment that empowers and celebrates every member of our team. We welcome applicants from all backgrounds to join us in shaping the future of AI.";AI, Intern;google.com
AI Consultant Internship - AI Console;"AIConsole consolidates the latest AI technologies into a suite of applications. With a team of coders, and innovators, we're on the lookout for individuals who share our drive to introduce our product to a worldwide audience.

Our AIConsole team is currently looking for an AI Consulting Intern with a strategic mind and a passion for AI and its market trends. In this role, you will gather and interpret relevant data, contributing to the decisions that keep AIConsole at the vanguard of the AI revolution.

We’re offering a free internship opportunity that provides unparalleled hands-on experience with AI technologies and real-world applications. This is your chance to not only build invaluable skills but also connect with potential clients and gain insights into the industry.

If your internship proves successful (typically after around 2 months), you’ll have the opportunity to transition into a paid Junior position, where you can put what you've learned into action and grow your career with us.

Your role and responsibilities

Learn how to evaluate and improve the effectiveness of business processes within AIConsole. 
Learn how to prepare the tooling and context material around the AIConsole project to bring new capabilities of our tool 
Learn how to conduct market research to understand industry trends and identify business opportunities. 
Assist in analyzing user behaviors and patterns to drive product enhancements. 
Support the team in strategic planning sessions with key data insights. 
Learn how to create reports and visualizations that depict data in a comprehensive and understandable manner. 
Collaborate with cross-functional teams to understand project impacts and outcomes better. 
Applicants for this position should be currently enrolled in their third year or higher of studies in Business Administration, Economics, Data Analytics, or a related field. (Additional recognition will be given to individuals enrolled in AI courses or possessing AI experience.) 
Able to dedicate 6 to 8 hours daily, with at least 2 days on-site in our Warsaw office 
Proficient in English, meaning you are able to communicate effectively in English (B2 is the required minimum) 

Must Haves

You have passion for AI (demonstrable through practical expertise with various tools or deep theoretical knowledge gained from extensive reading on AI and its development). 
You are proficient in prompt engineering/prompt writing. 
You naturally take initiative and act autonomously to drive effective results. 

Nice To Haves

Hacker spirit 
Python/C++ coding skills. 
Familiarity with SQL query comprehension. 
Proficiency in Excel usage, including creating and managing calculation files (advanced knowledge or macros not required). 

What You Can Expect From Us

Your internship as a AI Consultant will equip you with skills in data driven market research, trend analysis, and process optimization, alongside practical experience in AI technologies, cross-functional collaboration, and tools like prompt engineering and data visualization. 
You’ll gain invaluable skills in data-driven decision-making and strategic planning. 
This realm of AI business analytics will be a robust training ground for potential leadership positions in a future where AI tools are pivotal to business intelligence and operations. 
You will receive on-the-job guidance and mentoring from experienced professionals to help you excel in your role. 
We will provide formal internship documentation, offering you official recognition of your internship experience to enhance your credentials. 
We offer an intensive training program designed to prepare you for the role of AI Consultant, with the opportunity of employment at 10Clouds upon completion of the internship program. 
After successfully completing your internship (it will last 3 months), we'll provide opportunities for you to apply for further positions within our organization. 

Recruitment Process

 The first stage of our process is a recruitment task.
 The next stage is a technical interview with our AI Specialist.

Want to know more about us?

AIConsole is a part of 10Clouds and we are all about shaking up the AI game, bundling up the latest tech into one neat package. Our crew is all about pushing boundaries. With big dreams of taking our product worldwide, we're after go-getters to help us make it happen.

We embrace extreme ownership, rallying together to deliver exceptional results. In practice, this means you'll have a real say in shaping us. Your influence will be felt as we collaborate to tackle challenges and achieve our goals with precision.";AI, Intern;google.com
Junior AI Engineer (Talent Program);"The BEC Talent Program is looking for candidates ready to grow and unfold their ambitions alongside other bright-minded professionals. 

We are BEC. We code, learn and grow together. Here great ideas have no rank, and we collaborate informally to build the best solutions possible for Danish banks – now you can become a part of that by joining the BEC Talent Program. We welcome ambitious people with a curious mindset, who wish to kick start their careers and continuously develop new skills.

 CURIOSITY WANTED! WHO ARE THE PEOPLE WE ARE LOOKING FOR? 


 Graduates with bachelor's degrees in fields of technology or computer science, planning to continue education with master's degree; students on master's degree in IT fields or in other fields, who would like to start a career in IT 
 Fluent in English (both written and spoken) 
 Available at least 32 hours per week (Monday - Friday) 
 Open for hybrid work (up to 8 remote days per month) and collaborating in our Warsaw office 
 Available to work only from the office for the first 4 weeks 
 Motivated to join a one-year program and willing to stay with us afterwards 
 Skilled in programming languages and tools relevant to desired Talent Program path 
 Quick learners focused on professional development and improving technical knowledge 


WHAT WILL YOU DO AS A JUNIOR AI ENGINEER? 


 Engage in discussions regarding the design and requirements of AI solutions to be developed. 
 Support the development, configuration, and integration of AI solutions into existing systems and workflows to speed up processes. 
 Participate in testing solutions, including the creation and execution of manual and automated tests, and utilizing AI tools to enhance testing processes. 
 Assist in maintaining and tuning solutions for enhanced performance, accuracy, and user experience. 
 Collaborate with peers, product owners, team architects, and development managers to deliver robust AI solutions. 
 Adhere to BEC policies and procedures in design and development. 
 Contribute to the creation of technical documentation for developed solutions. 
 Work closely with GenAI team members, AI hub, discovery team, Cloud Center of Excellence, and various other teams at BEC and Nykredit. 


 TO SUCCEED YOU WILL: 


 Have ?a strong foundation in programming languages such as Python, Java, or C# 
 Understand machine learning algorithms 
 Be proficient in handling and analyzing data 
 Have some proven academic records or projects connect to AI developed during studies 
 Be able to explain difficult concepts and dilemmas to coworkers 
 Be a great team player 


 WHAT’S BEST ABOUT OUR TALENT PROGRAM? 


 Initial 4 weeks of business, technical and soft skills training before joining the team and additional 2 weeks of training throughout the year 
 Work on real business tasks with an experienced, agile team 
 Mentorship, support in personal development, and frequent feedback 
 Optional rotation within different teams 
 Unlimited access to an e-learning platform 
 Internal meetups, knowledge-sharing and networking events for Talents 
 Final assignment in the form of an international Hackathon 
 Further development and the possibility of changing/extending the stack with other technologies 


 WHAT ELSE DO WE OFFER? 


 12-month development program - contract of employment from day one 
 Attractive salary from day one 
 Flexible working hours and the ability to continue education while working 
 Danish culture focused on employee satisfaction and work-life balance 
 Great workplace – adjustable desk with 2 screens, gym, Xbox, football table, pool table, free lunches, rooftop etc. 


 HOW DOES THE RECRUITMENT PROCESS LOOK LIKE? 


 Online technical test - checking basic knowledge required for the specific Talent Program path 
 1st interview (online) – meet with our recruiter who wants to learn more about you 
 2nd interview (on-site) – meet with the technical expert to assess your hard skills 
 Assessment (on-site) – group case study in our Warsaw’s office on May 6th or 7th 
 3rd interview (online) – meet the hiring manager to discuss the role and the team in details 


Time to sign a contract. See you during your first day of work on 1st of August 2025!

 MAKE US AWARE OF YOUR TALENT! CODE. LEARN. GROW. TOGETHER. 

Ready to join a Danish culture of tech-loving people? Then we look forward to receiving your application and resume in English as soon as possible, but no later than April 13th. We will be contacting candidates throughout the campaign, so you may hear from us before the deadline. Please note that we may close the recruitment process early once we find the ideal candidates.

If you have any questions related to the position, do not hesitate to contact Natalia Cendrowska Natalia.cendrowska@bec.dk our Talent attraction partner.

We are committed to hiring top talent regardless of race, religion, color, national origin, sexual orientation, gender identity, and age. As a result, we encourage all qualified candidates to apply for the position.";AI, Intern;google.com
Intern AI/ML Engineering;"??? ?? ????????
Please submit your documents in English when applying for this position.We are seeking a skilled Junior AI/ML Engineer to bring Generative AI and Machine Learning skills to our globally distributed team. In this role, you can expect to participate in a wide variety of projects and contribute to the development of cutting-edge solutions. You will join a new team with a broad scope and play a vital role in shaping the future of our AI/ML initiatives.Responsibilities: 
Contribute to AI/ML projects and apply your expertise to design, develop, integrate, deploy, and monitor text, image, audio and video models to address complex challenges. 
Utilize your proficiency in Python to build and deploy applications to the cloud. 
Take ownership of features and projects, exercising your independence in problem-solving and decision-making to drive results. 
Embrace an iterative approach in a fast-moving environment, placing strong emphasis on continuous development and ongoing improvement. 
Effectively manage and prioritize tasks to ensure project milestones are met.
Skills and Experience you will bring: 
Robust proficiency in modern Python.
Experience working with Large Language Models and their APIs.
Database knowledge for data manipulation and extraction.
Strong problem-solving and critical-thinking skills.
Ability to work independently and as part of a collaborative team.
Effective communication and presentation skills.
Strong prioritization and time management abilities.
Proficiency in English with effective communication skills
Additional skills and experience that will be useful: 
Proven experience in machine learning and artificial intelligence, with a strong portfolio of projects and achievements. 
Experience with ML libraries and solutions such as PyTorch, YOLO, scikit-learn
Experience with AI libraries such as LangChain, LangGraph, Semantic Kernel, PydanticAI
Experience working with audio and video is a strong plus
Experience with cloud services.
If you are a talented software engineer looking for a role that offers both technical challenges and opportunities for professional development, we invite you to join our team and help us shape the future.You will meet regularly with your mentor in person in Warsaw or Cracow.
When you apply to a job on this site, the personal data contained in your application will be collected by Evertz Microsystems Ltd (“Controller”), which is located at 5292 John Lucas Drive, Burlington, Ontario, Canada and can be contacted by emailing privacy@evertz.com. Controller’s data protection officer is Nadiera Toolsieram, who can be contacted at privacy@evertz.com. Your personal data will be processed for the purposes of managing Controller’s and its' subsidiaries' and affiliates' recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment.

A complete privacy policy can be found at https://evertz.com/contact/privacy/

Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have to right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.";AI, Intern;google.com
